term,estimate,penalty
(Intercept),20.30142099811291,8.68511373751352e-4
surface_total,0.03440323022042571,8.68511373751352e-4
surface_covered,0.15919767944106356,8.68511373751352e-4
rooms,0.016345407646488893,8.68511373751352e-4
bedrooms,0.24481917623718322,8.68511373751352e-4
bathrooms,0.10875165718229485,8.68511373751352e-4
piso_numerico,0.008116421270756118,8.68511373751352e-4
distancia_minCC,0,8.68511373751352e-4
area_CC,0.007076177009041597,8.68511373751352e-4
distancia_minCCgrandes,0,8.68511373751352e-4
Min_dist_vias,0,8.68511373751352e-4
Min_dist_principales,0.0038971510256985975,8.68511373751352e-4
dist_zcomer,0,8.68511373751352e-4
dist_airport,0,8.68511373751352e-4
dist_uni,8.14791075342516e-6,8.68511373751352e-4
dist_zindus,0,8.68511373751352e-4
dist_zcommercial,0,8.68511373751352e-4
dist_zretail,1.2834326536370178e-5,8.68511373751352e-4
dist_zindustrial,0,8.68511373751352e-4
dist_zconstruction,-2.3034803156218083e-5,8.68511373751352e-4
dist_zinstitutional,0,8.68511373751352e-4
dist_zeducation,0,8.68511373751352e-4
dist_university,1.2305431841835867e-10,8.68511373751352e-4
dist_firest,0,8.68511373751352e-4
dist_supermercado,1.850754770589787e-5,8.68511373751352e-4
area_zindustrial,-8.789090627926404e-4,8.68511373751352e-4
area_supermercado,-4.747606721609604e-4,8.68511373751352e-4
area_zconstruction,-0.004026128615111152,8.68511373751352e-4
area_zeducation,0,8.68511373751352e-4
dist_parque,0,8.68511373751352e-4
dist_hsopital,-3.008114710162609e-8,8.68511373751352e-4
dist_colegio,-1.726214006529928e-8,8.68511373751352e-4
dist_bus,0,8.68511373751352e-4
dist_policia,-1.0851150426493642e-5,8.68511373751352e-4
dist_bar,3.342378179931317e-5,8.68511373751352e-4
dist_restaurante,-1.5132186079715354e-5,8.68511373751352e-4
dist_nightclub,-2.265148492724917e-5,8.68511373751352e-4
dist_carcel,0,8.68511373751352e-4
dist_mall,0,8.68511373751352e-4
dist_library,5.651762992884015e-7,8.68511373751352e-4
dist.centro.internacional.de.bogotá,0,8.68511373751352e-4
dist.bolsa.de.valores.de.colombia,-8.604741519254153e-6,8.68511373751352e-4
dist.plaza.de.mercado.corabastos,0,8.68511373751352e-4
dist.parque.de.la.mariposa,0,8.68511373751352e-4
dist.teleport.business.park.mizpah.group,0,8.68511373751352e-4
dist.ciudad.empresarial.sarmiento.angulo,0,8.68511373751352e-4
dist.parque.central.simón.bolívar,0,8.68511373751352e-4
turistico,0.006682960746242192,8.68511373751352e-4
dist_transmilenio,-4.6324032249293465e-6,8.68511373751352e-4
dist_suciedad,7.50669393048277e-5,8.68511373751352e-4
LED,-0.03225368546757054,8.68511373751352e-4
Mh,-0.016638364622666962,8.68511373751352e-4
Na,0,8.68511373751352e-4
CMH18CONT,0.01396228369671796,8.68511373751352e-4
CMH19CONT,0.0033660509812911453,8.68511373751352e-4
CMH20CONT,-0.0023652663249813725,8.68511373751352e-4
CMLP18CONT,0,8.68511373751352e-4
CMLP19CONT,0.00605736749123079,8.68511373751352e-4
CMLP20CONT,4.115600658670116e-5,8.68511373751352e-4
CMHP18CONT,0.0065189809254558775,8.68511373751352e-4
CMHP19CONT,0,8.68511373751352e-4
CMHP20CONT,0,8.68511373751352e-4
CMHR18CONT,-0.0069589624407734255,8.68511373751352e-4
CMHR19CONT,-8.12039266886951e-4,8.68511373751352e-4
CMHR20CONT,0,8.68511373751352e-4
CMHA18CONT,0.006375306284796784,8.68511373751352e-4
CMHA19CONT,-0.004598492912455801,8.68511373751352e-4
CMHA20CONT,-0.0060509147097944135,8.68511373751352e-4
CMHB18CONT,0,8.68511373751352e-4
CMHB19CONT,0,8.68511373751352e-4
CMHB20CONT,0.004724768048598388,8.68511373751352e-4
CMHC18CONT,0,8.68511373751352e-4
CMHC19CONT,0,8.68511373751352e-4
CMHC20CONT,-0.003160571500419272,8.68511373751352e-4
CMHCE18CON,0,8.68511373751352e-4
CMHCE19CON,0,8.68511373751352e-4
CMHCE20CON,0,8.68511373751352e-4
CMHM18CONT,0,8.68511373751352e-4
CMHM19CONT,0,8.68511373751352e-4
CMHM20CONT,0.004805990202393769,8.68511373751352e-4
CMDS18CONT,0.005821589173894108,8.68511373751352e-4
CMDS19CONT,0.00687713427930738,8.68511373751352e-4
CMDS20CONT,0.006337441647750533,8.68511373751352e-4
CMVI18CONT,-0.02225713778707987,8.68511373751352e-4
CMVI19CONT,-0.010568871568048427,8.68511373751352e-4
CMVI20CONT,0,8.68511373751352e-4
CMH21CONT,0,8.68511373751352e-4
CMLP21CONT,0,8.68511373751352e-4
CMHP21CONT,0,8.68511373751352e-4
CMHR21CONT,0.004823319096689039,8.68511373751352e-4
CMHA21CONT,0,8.68511373751352e-4
CMHB21CONT,0,8.68511373751352e-4
CMHCE21CON,0.00105071211419459,8.68511373751352e-4
CMHM21CONT,0,8.68511373751352e-4
CMHC21CONT,0,8.68511373751352e-4
CMDS21CONT,0,8.68511373751352e-4
CMVI21CONT,0,8.68511373751352e-4
CMH22CONT,0,8.68511373751352e-4
CMLP22CONT,0,8.68511373751352e-4
CMHP22CONT,0,8.68511373751352e-4
CMHR22CONT,0,8.68511373751352e-4
CMHA22CONT,0.003077203922369245,8.68511373751352e-4
CMHB22CONT,-3.861246267601668e-4,8.68511373751352e-4
CMHCE22CON,0,8.68511373751352e-4
CMHM22CONT,-0.008344568441224713,8.68511373751352e-4
CMHC22CONT,0.002638257867511308,8.68511373751352e-4
CMDS22CONT,-0.0012688151155938133,8.68511373751352e-4
CMVI22CONT,0,8.68511373751352e-4
CMH23CONT,-0.002302900768669996,8.68511373751352e-4
CMLP23CONT,-0.0015154340196188807,8.68511373751352e-4
CMHP23CONT,0,8.68511373751352e-4
CMHR23CONT,0.0018456809186450309,8.68511373751352e-4
CMHA23CONT,0.0011487684109343405,8.68511373751352e-4
CMHB23CONT,0,8.68511373751352e-4
CMHCE23CON,0.0016358215145533574,8.68511373751352e-4
CMHM23CONT,-0.007790639309779774,8.68511373751352e-4
CMHC23CONT,0,8.68511373751352e-4
CMVI23CONT,-0.003655063067095148,8.68511373751352e-4
concpm25,0,8.68511373751352e-4
n_restaurants,0.0011523863562390832,8.68511373751352e-4
n_parques,-0.00413725186708096,8.68511373751352e-4
n_supermercados,-0.010477497140307417,8.68511373751352e-4
distancia_minCC_sq,-0.002266560089095502,8.68511373751352e-4
distancia_minCC_cube,-0.004095680175778433,8.68511373751352e-4
distancia_minCCgrandes_sq,0,8.68511373751352e-4
distancia_minCCgrandes_cube,-1.1816213062738335e-4,8.68511373751352e-4
dist_zcomer_sq,0.001162156172355469,8.68511373751352e-4
dist_zcomer_cube,0,8.68511373751352e-4
dist_airport_sq,0,8.68511373751352e-4
dist_airport_cube,0,8.68511373751352e-4
dist_uni_sq,0,8.68511373751352e-4
dist_uni_cube,-0.0034794935392089615,8.68511373751352e-4
dist_zindus_sq,0,8.68511373751352e-4
dist_zindus_cube,0,8.68511373751352e-4
dist_zcommercial_sq,1.5362901811664204e-11,8.68511373751352e-4
dist_zcommercial_cube,0,8.68511373751352e-4
dist_zretail_sq,0,8.68511373751352e-4
dist_zretail_cube,0,8.68511373751352e-4
dist_zindustrial_sq,0,8.68511373751352e-4
dist_zindustrial_cube,0,8.68511373751352e-4
dist_zconstruction_sq,0,8.68511373751352e-4
dist_zconstruction_cube,7.932228915861362e-12,8.68511373751352e-4
dist_zinstitutional_sq,0,8.68511373751352e-4
dist_zinstitutional_cube,0,8.68511373751352e-4
dist_zeducation_sq,0,8.68511373751352e-4
dist_zeducation_cube,0,8.68511373751352e-4
dist_university_sq,0,8.68511373751352e-4
dist_university_cube,-1.0448809155290082e-16,8.68511373751352e-4
dist_firest_sq,0,8.68511373751352e-4
dist_firest_cube,0,8.68511373751352e-4
dist_supermercado_sq,0,8.68511373751352e-4
dist_supermercado_cube,0,8.68511373751352e-4
dist_parque_sq,0,8.68511373751352e-4
dist_parque_cube,-1.1630542077887025e-11,8.68511373751352e-4
dist_hsopital_sq,0,8.68511373751352e-4
dist_hsopital_cube,5.142497254484544e-12,8.68511373751352e-4
dist_colegio_sq,0,8.68511373751352e-4
dist_colegio_cube,-8.737427597430197e-12,8.68511373751352e-4
dist_bus_sq,0,8.68511373751352e-4
dist_bus_cube,0,8.68511373751352e-4
dist_policia_sq,-2.018147560437625e-9,8.68511373751352e-4
dist_policia_cube,0,8.68511373751352e-4
dist_bar_sq,0,8.68511373751352e-4
dist_bar_cube,0,8.68511373751352e-4
dist_restaurante_sq,0,8.68511373751352e-4
dist_restaurante_cube,6.548112159493942e-14,8.68511373751352e-4
dist_nightclub_sq,0,8.68511373751352e-4
dist_nightclub_cube,5.963875661767647e-12,8.68511373751352e-4
dist_carcel_sq,-1.1828472230795243e-9,8.68511373751352e-4
dist_carcel_cube,0,8.68511373751352e-4
dist_mall_sq,-2.0502692601777416e-10,8.68511373751352e-4
dist_mall_cube,0,8.68511373751352e-4
dist_library_sq,0,8.68511373751352e-4
dist_library_cube,2.9074424944560417e-13,8.68511373751352e-4
dist.centro.internacional.de.bogotá_sq,0,8.68511373751352e-4
dist.centro.internacional.de.bogotá_cube,0,8.68511373751352e-4
dist.bolsa.de.valores.de.colombia_sq,-2.0969183047263323e-9,8.68511373751352e-4
dist.bolsa.de.valores.de.colombia_cube,0,8.68511373751352e-4
dist.plaza.de.mercado.corabastos_sq,0,8.68511373751352e-4
dist.plaza.de.mercado.corabastos_cube,0,8.68511373751352e-4
dist.parque.de.la.mariposa_sq,0,8.68511373751352e-4
dist.parque.de.la.mariposa_cube,0,8.68511373751352e-4
dist.teleport.business.park.mizpah.group_sq,0,8.68511373751352e-4
dist.teleport.business.park.mizpah.group_cube,0,8.68511373751352e-4
dist.ciudad.empresarial.sarmiento.angulo_sq,0,8.68511373751352e-4
dist.ciudad.empresarial.sarmiento.angulo_cube,0,8.68511373751352e-4
dist.parque.central.simón.bolívar_sq,0,8.68511373751352e-4
dist.parque.central.simón.bolívar_cube,0,8.68511373751352e-4
dist_transmilenio_sq,0,8.68511373751352e-4
dist_transmilenio_cube,3.762404555445644e-13,8.68511373751352e-4
dist_suciedad_sq,0,8.68511373751352e-4
dist_suciedad_cube,-9.93042944981969e-12,8.68511373751352e-4
surface_covered_sq,-0.22077666687750952,8.68511373751352e-4
surface_covered_cube,0.09401991013271602,8.68511373751352e-4
bedrooms_sq,-0.17416573518942116,8.68511373751352e-4
bedrooms_cube,-0.014534339955405866,8.68511373751352e-4
bathrooms_sq,0,8.68511373751352e-4
